mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_svm__class_weight,param_svm__gamma,param_svm__kernel,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
16.035901308059692,0.17222958562334165,3.3077338695526124,0.08542052456563748,0.301,,scale,linear,"{'svm__C': 0.301, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'linear'}",0.9323529411764706,0.9333333333333333,0.9170437405731523,0.9394387001477105,0.9237668161434978,0.9291871062748328,0.007863202427155129,57
45.329579782485965,1.166148528453266,8.709549283981323,0.5892994047462666,0.301,,scale,poly,"{'svm__C': 0.301, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.09444444444444444,0.07865168539325842,0.05128205128205128,0.11019283746556474,0.08379888268156424,0.08367398025337662,0.01946139149954812,195
33.52081475257874,0.13067975962461337,9.724453926086426,0.11045638721135116,0.301,,scale,rbf,"{'svm__C': 0.301, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'rbf'}",0.9047619047619048,0.8885298869143781,0.8735632183908046,0.9015873015873016,0.8528925619834711,0.8842669747275721,0.019168372255914563,139
19.50738654136658,1.3121479453746672,4.193439292907715,0.10341406979919726,0.301,,scale,sigmoid,"{'svm__C': 0.301, 'svm__class_weight': None, 'svm__gamma': 'scale', 'svm__kernel': 'sigmoid'}",0.9278033794162827,0.9318885448916409,0.915625,0.9375951293759512,0.9096573208722741,0.9245138749112298,0.010354275548578314,113
15.776952648162842,0.1929502774637347,3.2373964309692385,0.04298772340933074,0.301,,auto,linear,"{'svm__C': 0.301, 'svm__class_weight': None, 'svm__gamma': 'auto', 'svm__kernel': 'linear'}",0.9323529411764706,0.9333333333333333,0.9170437405731523,0.9394387001477105,0.9237668161434978,0.9291871062748328,0.007863202427155129,57
44.40052599906922,0.7153373045233897,9.15758466720581,0.9483666972628608,0.301,,auto,poly,"{'svm__C': 0.301, 'svm__class_weight': None, 'svm__gamma': 'auto', 'svm__kernel': 'poly'}",0.09444444444444444,0.07865168539325842,0.05128205128205128,0.11019283746556474,0.08379888268156424,0.08367398025337662,0.01946139149954812,195
32.45551271438599,0.2698304509611908,10.527684783935547,0.29936092053450264,0.301,,auto,rbf,"{'svm__C': 0.301, 'svm__class_weight': None, 'svm__gamma': 'auto', 'svm__kernel': 'rbf'}",0.9047619047619048,0.8885298869143781,0.8735632183908046,0.9015873015873016,0.8528925619834711,0.8842669747275721,0.019168372255914563,139
20.383193922042846,0.6875806142738633,4.298055744171142,0.17234328062356088,0.301,,auto,sigmoid,"{'svm__C': 0.301, 'svm__class_weight': None, 'svm__gamma': 'auto', 'svm__kernel': 'sigmoid'}",0.9278033794162827,0.9318885448916409,0.915625,0.9375951293759512,0.9096573208722741,0.9245138749112298,0.010354275548578314,113
16.646748876571657,0.1567012745989817,3.3064937591552734,0.09443739305041304,0.301,balanced,scale,linear,"{'svm__C': 0.301, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'linear'}",0.9323529411764706,0.9333333333333333,0.9170437405731523,0.9394387001477105,0.9237668161434978,0.9291871062748328,0.007863202427155129,57
44.40189504623413,1.0696103846567517,8.204370355606079,0.5823494820660118,0.301,balanced,scale,poly,"{'svm__C': 0.301, 'svm__class_weight': 'balanced', 'svm__gamma': 'scale', 'svm__kernel': 'poly'}",0.17941952506596306,0.1711229946524064,0.11570247933884298,0.18997361477572558,0.18037135278514588,0.16731799332361677,0.02649057857483913,181
