,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logit_13__C,param_logit_13__class_weight,param_logit_13__l1_ratio,param_pca__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
208,1.9940505504608155,0.04425195179062671,0.041626262664794925,0.006980907254848364,0.1,balanced,0.0,25,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0, 'pca__n_components': 25}",0.9437229437229437,0.9492017416545718,0.9437869822485208,0.9547445255474453,0.9298245614035088,0.944256150915398,0.008285409768615068,729
209,1.9252518177032472,0.0514824928510146,0.043777751922607425,0.005063849106689631,0.1,balanced,0.0,30,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0, 'pca__n_components': 30}",0.9452449567723343,0.9504373177842566,0.9436201780415431,0.9546120058565154,0.9317851959361393,0.9451399308781576,0.007725958023739851,443
210,2.326902151107788,0.021971928738431346,0.047338247299194336,0.008554404253505166,0.1,balanced,0.0,35,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0, 'pca__n_components': 35}",0.9464544138929089,0.9521044992743106,0.9437869822485208,0.9605839416058394,0.9358600583090378,0.9477579790661235,0.008275580574418847,12
211,2.5410046100616457,0.06800880246224837,0.053862571716308594,0.006145674432920066,0.1,balanced,0.0,40,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0, 'pca__n_components': 40}",0.9381294964028777,0.9447674418604651,0.9408284023668639,0.9546120058565154,0.9302325581395349,0.9417139809252515,0.008014218847385778,1567
212,2.9798304080963134,0.04447158196853566,0.05154118537902832,0.0077000610424533735,0.1,balanced,0.0,45,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0, 'pca__n_components': 45}",0.9452449567723343,0.9490538573508006,0.9437869822485208,0.956140350877193,0.925764192139738,0.9439980678777173,0.010070447429205287,825
213,3.387348937988281,0.12223959547423663,0.05953712463378906,0.004388861818031382,0.1,balanced,0.0,60,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0, 'pca__n_components': 60}",0.9454022988505747,0.9490538573508006,0.9425625920471281,0.9576642335766423,0.9302325581395349,0.9449831079929363,0.008955392630153033,482
214,3.8198737144470214,0.08185187582149946,0.07961025238037109,0.01651751182501014,0.1,balanced,0.0,70,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0, 'pca__n_components': 70}",0.9394812680115274,0.9548762736535662,0.9420505200594353,0.9576642335766423,0.934876989869754,0.945789857034185,0.008904329188311376,266
215,4.114590120315552,0.10524493009678206,0.06436700820922851,0.0033264802314909732,0.1,balanced,0.0,80,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0, 'pca__n_components': 80}",0.9421965317919075,0.9478260869565217,0.9422222222222222,0.9618768328445748,0.9343065693430657,0.9456856486316584,0.009169390674523917,304
216,4.377428197860718,0.09371073472784189,0.08122906684875489,0.006331108333675085,0.1,balanced,0.0,90,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0, 'pca__n_components': 90}",0.9423631123919308,0.9521044992743106,0.9451851851851852,0.9533527696793003,0.9327485380116959,0.9451508209084846,0.00744600197667445,436
217,4.8612714290618895,0.09563347531612212,0.07825269699096679,0.006483593136693318,0.1,balanced,0.0,100,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0, 'pca__n_components': 100}",0.934876989869754,0.9502923976608187,0.9467455621301775,0.9563953488372093,0.9315866084425036,0.9439793813880927,0.00936051847590888,835
218,9.047303724288941,0.16452556908869084,0.13165812492370604,0.016178581886278395,0.1,balanced,0.0,200,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0, 'pca__n_components': 200}",0.9304347826086956,0.9543446244477173,0.9436201780415431,0.9526542324246772,0.9210526315789473,0.9404212898203161,0.012873323316989871,1890
219,35.888936614990236,0.1290602666046251,0.5088409900665283,0.020850506676267807,0.1,balanced,0.0,1000,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0, 'pca__n_components': 1000}",0.9442815249266863,0.9464285714285714,0.9404761904761905,0.9492017416545718,0.9214814814814815,0.9403739019935002,0.009867049283085332,1898
220,90.48107743263245,0.8100616746235518,1.222287082672119,0.1138004368358388,0.1,balanced,0.0,2000,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0, 'pca__n_components': 2000}",0.9401459854014599,0.9486049926578561,0.9299552906110283,0.945985401459854,0.931185944363104,0.9391755228986606,0.007550856799606886,1993
221,1.4828440189361571,0.09161560534914379,0.03968939781188965,0.004833724326750002,0.1,balanced,0.2,8,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0.2, 'pca__n_components': 8}",0.9315866084425036,0.9315866084425036,0.9366715758468336,0.9385964912280702,0.9064748201438849,0.9289832208207592,0.011590592100318806,2384
222,1.426989984512329,0.05635073286595398,0.03913912773132324,0.008192787927365159,0.1,balanced,0.2,10,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0.2, 'pca__n_components': 10}",0.9319826338639653,0.938953488372093,0.9323529411764706,0.9551374819102749,0.9062049062049062,0.9329262903055421,0.015779199814900884,2183
223,1.5705317497253417,0.055317648261564906,0.03190755844116211,0.0028035331007911562,0.1,balanced,0.2,12,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0.2, 'pca__n_components': 12}",0.9335260115606936,0.9430656934306569,0.9406528189910979,0.9522431259044862,0.9101449275362319,0.9359265154846332,0.014212602002472804,2042
224,1.5501469135284425,0.03434481470364969,0.04170293807983398,0.009559654592963755,0.1,balanced,0.2,15,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0.2, 'pca__n_components': 15}",0.9377713458755427,0.956268221574344,0.9410029498525073,0.9575402635431918,0.9284671532846716,0.9442099868260515,0.011159527713584536,752
225,2.015995407104492,0.01877289858036952,0.04152593612670898,0.004692277219838503,0.1,balanced,0.2,25,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0.2, 'pca__n_components': 25}",0.9479768786127167,0.9505813953488372,0.9437869822485208,0.956140350877193,0.9346879535558781,0.946634712128629,0.007191237629164275,106
226,2.054212522506714,0.09110546892065198,0.04625716209411621,0.0037232280305582546,0.1,balanced,0.2,30,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0.2, 'pca__n_components': 30}",0.9423631123919308,0.9476744186046512,0.9394387001477105,0.9575402635431918,0.9372262773722628,0.9448485544119494,0.007247179335059487,542
227,2.3726945877075196,0.0535607411992696,0.04901618957519531,0.0042060881323322434,0.1,balanced,0.2,35,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0.2, 'pca__n_components': 35}",0.9437229437229437,0.9534883720930233,0.9422222222222222,0.956140350877193,0.9298245614035088,0.9450796900637781,0.009335619793443026,464
228,2.575792932510376,0.11863623948976558,0.04945731163024902,0.007795084408426882,0.1,balanced,0.2,40,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0.2, 'pca__n_components': 40}",0.9464544138929089,0.9461426491994177,0.9406528189910979,0.9589442815249267,0.9343065693430657,0.9453001465902833,0.00813217014420822,395
229,3.0924210071563722,0.046931106127256046,0.05814251899719238,0.006608655608309223,0.1,balanced,0.2,45,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0.2, 'pca__n_components': 45}",0.9467625899280575,0.9490538573508006,0.9467455621301775,0.9548762736535662,0.9329446064139941,0.9460765778953192,0.007206464678268084,199
230,3.5163164138793945,0.10384277146703214,0.07052664756774903,0.01232631552579343,0.1,balanced,0.2,60,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0.2, 'pca__n_components': 60}",0.9421965317919075,0.9473684210526315,0.9437869822485208,0.9533527696793003,0.9259796806966618,0.9425368770938043,0.0091230115620116,1325
231,3.8298364162445067,0.12721003469569722,0.06898684501647949,0.009603935181899064,0.1,balanced,0.2,70,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0.2, 'pca__n_components': 70}",0.9369627507163324,0.9534883720930233,0.9436201780415431,0.956268221574344,0.9286754002911208,0.9438029845432727,0.010245534525439859,899
232,4.1725610256195065,0.1291597174646701,0.0656503677368164,0.007463699364427671,0.1,balanced,0.2,80,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0.2, 'pca__n_components': 80}",0.9425287356321839,0.9490538573508006,0.9481481481481482,0.9547445255474453,0.9358600583090378,0.9460670649975231,0.006407072927215248,202
233,4.557942199707031,0.10961226180317399,0.08108687400817871,0.008407200894865782,0.1,balanced,0.2,90,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0.2, 'pca__n_components': 90}",0.9391304347826087,0.9505813953488372,0.9453471196454948,0.9606986899563319,0.9302325581395349,0.9451980395745615,0.010296158205965088,416
234,5.039764356613159,0.14297867156320881,0.08119344711303711,0.006944977304808597,0.1,balanced,0.2,100,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0.2, 'pca__n_components': 100}",0.9440459110473458,0.9532163742690059,0.9406528189910979,0.9563953488372093,0.931185944363104,0.9450992795015527,0.009032717207417952,460
235,9.959197282791138,0.2319771846035284,0.13057117462158202,0.011774160604916801,0.1,balanced,0.2,200,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0.2, 'pca__n_components': 200}",0.9406657018813314,0.9469026548672567,0.9478390461997019,0.9536231884057971,0.9296187683284457,0.9437298719365066,0.008165071445822895,922
236,42.98957691192627,0.1620989736026789,0.5592797279357911,0.0802825761685848,0.1,balanced,0.2,1000,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0.2, 'pca__n_components': 1000}",0.9385964912280702,0.9497041420118343,0.9401197604790419,0.9548762736535662,0.9260355029585798,0.9418664340662186,0.009950350410402514,1534
237,104.94982919692993,0.7370315585677335,1.0691245079040528,0.037434209999170014,0.1,balanced,0.2,2000,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0.2, 'pca__n_components': 2000}",0.9430656934306569,0.9497041420118343,0.9401197604790419,0.9502923976608187,0.9352941176470588,0.9436952222458821,0.005716443510869319,934
238,1.4534494400024414,0.042214639721095626,0.05939850807189941,0.027608194218368763,0.1,balanced,0.4,8,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0.4, 'pca__n_components': 8}",0.9300291545189504,0.9315866084425036,0.9351032448377581,0.9385964912280702,0.9064748201438849,0.9283580638342335,0.011335036489085454,2448
239,1.4726508140563965,0.10150540695982477,0.047673511505126956,0.014733392122606144,0.1,balanced,0.4,10,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0.4, 'pca__n_components': 10}",0.9319826338639653,0.938953488372093,0.9323529411764706,0.9536231884057971,0.9062049062049062,0.9326234316046464,0.015358917120028246,2231
240,1.5218111991882324,0.05650712412200851,0.03537826538085938,0.0036261334986783075,0.1,balanced,0.4,12,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0.4, 'pca__n_components': 12}",0.9335260115606936,0.9430656934306569,0.9406528189910979,0.9522431259044862,0.9101449275362319,0.9359265154846332,0.014212602002472804,2042
241,1.5946082592010498,0.0272214547076024,0.03944463729858398,0.006760399696543959,0.1,balanced,0.4,15,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0.4, 'pca__n_components': 15}",0.9393063583815029,0.956268221574344,0.9394387001477105,0.9575402635431918,0.9302325581395349,0.9445572203572568,0.010627075873919907,623
242,2.027028799057007,0.0454915861279272,0.042209720611572264,0.0036310380563087667,0.1,balanced,0.4,25,"{'logit_13__C': 0.1, 'logit_13__class_weight': 'balanced', 'logit_13__l1_ratio': 0.4, 'pca__n_components': 25}",0.9479768786127167,0.9478260869565217,0.9451851851851852,0.956268221574344,0.9358600583090378,0.9466232861275611,0.006545516474908949,108
